Player,PayRnk,pay,college,team,pos,age,games,point,ThrP,ThrPA,eFG,FreeThrow,rebound,assist
Semi Ojeleye,412,1291892,Villanova University,GSW,PF,23,73,4.6,0.5,1.7,0.452,0.61,2.2,0.3
Frank Mason,413,1184385,Santa Clara University,MEM,PG,23,52,13,0.6,1.7,0.42,0.817,2.5,2.8
Abdel Nader,414,1167333,University of Notre Dame,NOP,SF,24,48,5.1,0.5,1.4,0.413,0.59,1.5,0.5
Damyean Dotson,415,1100000,Saint Francis University,UTA,SG,23,44,11.6,0.5,1.5,0.516,0.696,1.9,0.7
Isaiah Canaan,416,1069308,University of Cincinnati,SAS,PG-SG,26,20,13.5,1.1,3.3,0.46,0.902,2.3,3.8
Wesley Iwundu,417,1050000,Florida Agricultural and Mechanical University,SAS,SF,23,62,7.8,0.1,0.7,0.447,0.723,2.2,0.9
Ivan Rabb,418,950000,Western Kentucky University,POR,PF,20,36,16.6,0,0,0.566,0.806,4.4,0.9
Ike Anigbogu,419,950000,Michigan State University,PHO,C,19,11,21.6,0,0,0.444,0.833,0.8,0
Gerald Green,420,947248,"California State University, Los Angeles",MIN,SG,32,41,14.1,2.7,7.3,0.54,0.85,3.2,0.6
Jordan Bell,421,815615,University of Utah,MIL,C,23,57,18,0,0.1,0.627,0.682,3.6,1.8
Dakari Johnson,422,815615,Bowling Green State University,MIA,C,22,31,16.4,0,0,0.564,0.55,1.1,0.3
Sterling Brown,423,815615,University of Kentucky,MEM,SG,22,54,9.1,0.6,1.7,0.478,0.875,2.6,0.5
Dillon Brooks,424,815615,Duquesne University,LAL,SF,22,82,9.8,1.1,3.2,0.501,0.747,3.1,1.6
Jawun Evans,425,815615,Iona College,GSW,PG,21,48,7.2,0.3,1.1,0.381,0.776,1.8,2.1
Sindarius Thornwell,426,815615,University of Kentucky,DAL,SG,23,73,8.2,0.3,0.8,0.479,0.67,1.9,0.9
Dwayne Bacon,427,815615,College of the Holy Cross,DAL,SG,22,53,5.8,0.2,0.8,0.404,0.8,2.3,0.7
Tyler Dorsey,428,815615,George Washington University,CHO,SG,21,56,10,1.3,3.6,0.471,0.714,2.3,1.4
Davon Reed,429,815615,Grambling State University,CHI,SG,22,21,4.8,0.5,1.8,0.362,0.667,1.9,0.6
Royce O'Neale,430,815615,Whitworth,CHI,SF,24,69,10.8,0.6,1.7,0.496,0.803,3.4,1.4
Alfonzo McKinnie,431,815615,Temple University,BRK,SF,25,14,10.1,0.2,0.6,0.633,0.667,0.5,0.1
Brandon Paul,432,815615,Indiana University,ATL,SG,26,64,7.5,0.2,0.8,0.492,0.512,1.1,0.6
Khem Birch,433,815615,Canisius College,ATL,C,25,42,16.4,0,0,0.54,0.689,4.3,0.8
Thomas Bryant,434,815615,"University of California, Los Angeles",ATL,C,20,15,9.9,0.1,0.7,0.405,0.556,1.1,0.4
Zhou Qi,435,815615,University of Dayton,ATL,C,22,18,1.9,0.1,1.1,0.219,0.667,1.2,0.1
Maxi Kleber,436,815615,Xavier University,ATL,PF,26,72,13.4,0.6,1.8,0.553,0.746,3.3,0.7
Daniel Theis,437,815615,University of Toledo,CHI,C,25,63,16.1,0.3,0.9,0.579,0.753,4.3,0.9
Trey Burke,438,784160,University of San Francisco,TOR,PG,25,36,21,1.1,2.9,0.552,0.649,2,4.7
Alex Poythress,439,778668,North Carolina State University,TOR,PF,24,25,7.8,0.2,0.4,0.5,0,0.7,0.1
Dwight Buycks,440,748160,DePaul University,LAL,PG,28,29,12.8,0.5,1.6,0.452,0.878,1.4,2
Tyler Cavanaugh,441,679919,University of Missouri,ATL,PF,23,39,13,0.8,2.3,0.546,0.81,3.3,0.7
